Run 1
Time;Power
0.10;0.95
0.20;1.88
0.30;2.60
0.40;3.30
0.50;3.77
0.60;4.68
0.70;4.90
0.80;5.72
0.90;6.11
1.00;6.24
1.10;6.80
1.20;6.73
1.30;7.22
1.40;7.29
1.50;7.65
1.60;8.18
1.70;8.52
1.80;8.33
1.90;8.35
2.00;8.65
2.10;8.54
2.20;8.51
2.30;9.39
2.40;8.97
2.50;9.56
2.60;9.15
2.70;9.43
2.80;9.27
2.90;9.19
3.00;9.32
3.10;9.51
3.20;9.79
3.30;9.52
3.40;9.72
3.50;9.32
3.60;9.55
3.70;9.92
3.80;10.20
3.90;10.20
4.00;10.22
4.10;9.88
4.20;10.26
4.30;10.00
4.40;9.40
4.50;10.29
4.60;10.17
4.70;9.57
4.80;10.32
4.90;10.39
5.00;9.61

Run 2
Time;Power
0.00;0.00
0.10;0.98
0.20;1.87
0.30;2.60
0.40;3.27
0.50;3.77
0.60;4.32
0.70;5.19
0.80;5.63
0.90;6.11
1.00;6.57
1.10;6.46
1.20;6.96
1.30;7.01
1.40;7.49
1.50;7.43
1.60;8.06
1.70;7.96
1.80;8.25
1.90;8.50
2.00;8.90
2.10;8.74
2.20;8.79
2.30;9.30
2.40;9.41
2.50;9.38
2.60;9.54
2.70;9.63
2.80;9.19
2.90;9.84
3.00;9.38
3.10;9.70
3.20;10.00
3.30;9.16
3.40;9.25
3.50;9.71
3.60;9.28
3.70;9.28
3.80;9.71
3.90;9.69
4.00;9.65
4.10;10.24
4.20;10.04
4.30;9.39
4.40;9.96
4.50;9.51
4.60;10.21
4.70;9.87
4.80;10.27
4.90;9.92

Run 3
Time;Power
0.00;0.00
0.10;0.97
0.20;1.74
0.30;2.63
0.40;3.43
0.50;4.09
0.60;4.57
0.70;5.03
0.80;5.77
0.90;5.85
1.00;6.56
1.10;6.63
1.20;6.86
1.30;7.14
1.40;7.47
1.50;7.62
1.60;8.00
1.70;8.50
1.80;8.33
1.90;8.11
2.00;8.93
2.10;9.13
2.20;9.31
2.30;9.37
2.40;8.90
2.50;9.05
2.60;9.64
2.70;8.88
2.80;9.46
2.90;9.62
3.00;9.17
3.10;9.76
3.20;9.79
3.30;9.35
3.40;9.24
3.50;9.97
3.60;9.91
3.70;9.27
3.80;9.33
3.90;9.31
4.00;9.94
4.10;10.05
4.20;9.94
4.30;9.88
4.40;10.09
4.50;9.64
4.60;9.77
4.70;10.02
4.80;10.39
4.90;9.44
5.00;10.16

Run 4
Time;Power
0.00;0.00
0.10;0.94
0.20;1.82
0.30;2.56
0.40;3.31
0.50;4.06
0.60;4.42
0.70;5.22
0.80;5.24
0.90;6.07
1.00;6.46
1.10;6.99
1.20;7.18
1.30;7.19
1.40;7.40
1.50;7.86
1.60;8.06
1.70;8.52
1.80;8.59
1.90;8.37
2.00;8.79
2.10;8.77
2.20;8.75
2.30;9.25
2.40;9.26
2.50;9.62
2.60;8.81
2.70;8.89
2.80;9.19
2.90;9.50
3.00;9.38
3.10;9.67
3.20;9.36
3.30;9.41
3.40;10.12
3.50;10.12
3.60;9.34
3.70;9.34
3.80;10.01
3.90;10.17
4.00;10.28
4.10;9.38
4.20;9.87
4.30;9.88
4.40;9.48
4.50;9.73
4.60;9.87
4.70;9.95
4.80;9.78
4.90;10.25

Run 5
Time;Power
0.00;0.00
0.10;0.97
0.20;1.89
0.30;2.51
0.40;3.35
0.50;4.02
0.60;4.29
0.70;4.85
0.80;5.46
0.90;5.87
1.00;6.43
1.10;6.92
1.20;6.74
1.30;7.58
1.40;7.73
1.50;8.15
1.60;7.87
1.70;7.97
1.80;8.03
1.90;8.63
2.00;8.31
2.10;8.92
2.20;8.69
2.30;8.96
2.40;9.13
2.50;9.08
2.60;9.62
2.70;9.58
2.80;9.32
2.90;9.84
3.00;9.97
3.10;9.23
3.20;9.76
3.30;9.80
3.40;9.79
3.50;9.38
3.60;9.74
3.70;9.32
3.80;9.68
3.90;10.15
4.00;9.34
4.10;10.13
4.20;9.85
4.30;10.03
4.40;9.40
4.50;9.77
4.60;10.27
4.70;9.41
4.80;10.12
4.90;9.97

Run 6
Time;Power
0.00;0.00
0.10;0.95
0.20;1.84
0.30;2.48
0.40;3.23
0.50;3.93
0.60;4.65
0.70;5.07
0.80;5.33
0.90;5.82
1.00;6.37
1.10;6.91
1.20;6.94
1.30;7.07
1.40;7.28
1.50;7.46
1.60;8.00
1.70;7.83
1.80;8.71
1.90;8.23
2.00;8.81
2.10;8.81
2.20;9.22
2.30;9.30
2.40;8.67
2.50;9.30
2.60;9.23
2.70;9.71
2.80;8.93
2.90;9.09
3.00;9.84
3.10;9.92
3.20;9.48
3.30;9.66
3.40;9.46
3.50;9.70
3.60;10.21
3.70;9.71
3.80;9.47
3.90;9.73
4.00;9.42
4.10;9.61
4.20;9.87
4.30;9.61
4.40;9.58
4.50;9.63
4.60;10.28
4.70;9.71
4.80;9.89
4.90;10.32
5.00;10.18

Run 7
Time;Power
0.00;0.00
0.10;0.95
0.20;1.75
0.30;2.65
0.40;3.30
0.50;3.77
0.60;4.35
0.70;4.99
0.80;5.32
0.90;5.74
1.00;6.40
1.10;6.75
1.20;7.33
1.30;7.28
1.40;7.50
1.50;7.98
1.60;8.07
1.70;7.80
1.80;8.34
1.90;8.53
2.00;8.35
2.10;8.82
2.20;9.12
2.30;9.45
2.40;9.06
2.50;9.00
2.60;9.45
2.70;9.78
2.80;9.16
2.90;9.68
3.00;9.24
3.10;9.33
3.20;9.25
3.30;9.28
3.40;9.90
3.50;9.57
3.60;10.06
3.70;9.52
3.80;9.46
3.90;9.56
4.00;10.08
4.10;9.86
4.20;9.93
4.30;9.90
4.40;10.25
4.50;10.28
4.60;9.43
4.70;9.52
4.80;9.96
4.90;10.36

Run 8
Time;Power
0.00;0.00
0.10;0.95
0.20;1.86
0.30;2.55
0.40;3.33
0.50;3.88
0.60;4.73
0.70;5.27
0.80;5.76
0.90;5.82
1.00;6.13
1.10;6.74
1.20;6.73
1.30;7.21
1.40;7.81
1.50;7.65
1.60;7.81
1.70;8.57
1.80;8.64
1.90;8.50
2.00;8.87
2.10;8.35
2.20;8.54
2.30;9.23
2.40;8.73
2.50;8.92
2.60;9.36
2.70;9.50
2.80;9.67
2.90;9.42
3.00;9.61
3.10;9.29
3.20;9.30
3.30;9.39
3.40;10.14
3.50;9.24
3.60;10.15
3.70;10.21
3.80;10.27
3.90;9.70
4.00;9.73
4.10;9.80
4.20;9.77
4.30;10.26
4.40;10.04
4.50;10.13
4.60;9.74
4.70;9.69
4.80;9.75
4.90;9.73

Run 9
Time;Power
0.00;0.00
0.10;0.91
0.20;1.84
0.30;2.62
0.40;3.36
0.50;3.89
0.60;4.60
0.70;5.20
0.80;5.24
0.90;5.85
1.00;6.60
1.10;6.75
1.20;6.89
1.30;7.03
1.40;7.71
1.50;7.82
1.60;7.69
1.70;8.47
1.80;8.04
1.90;8.73
2.00;8.72
2.10;9.00
2.20;8.83
2.30;9.43
2.40;8.95
2.50;9.49
2.60;9.08
2.70;9.43
2.80;9.21
2.90;9.13
3.00;9.08
3.10;9.45
3.20;9.31
3.30;9.91
3.40;9.98
3.50;9.79
3.60;9.65
3.70;10.19
3.80;9.71
3.90;9.49
4.00;9.49
4.10;9.57
4.20;10.22
4.30;9.80
4.40;9.65
4.50;9.48
4.60;9.43
4.70;10.20
4.80;9.42
4.90;10.28
5.00;9.49

Run 10
Time;Power
0.00;0.00
0.10;1.00
0.20;1.80
0.30;2.69
0.40;3.15
0.50;3.97
0.60;4.29
0.70;4.86
0.80;5.28
0.90;5.69
1.00;6.28
1.10;6.48
1.20;7.17
1.30;6.95
1.40;7.35
1.50;8.08
1.60;7.63
1.70;8.22
1.80;8.09
1.90;8.51
2.00;9.08
2.10;8.78
2.20;9.00
2.30;8.87
2.40;8.66
2.50;9.22
2.60;9.33
2.70;9.21
2.80;9.37
2.90;9.61
3.00;9.24
3.10;9.53
3.20;9.73
3.30;9.94
3.40;9.36
3.50;9.32
3.60;9.89
3.70;9.95
3.80;9.86
3.90;9.94
4.00;9.84
4.10;10.13
4.20;9.60
4.30;9.99
4.40;10.19
4.50;9.67
4.60;10.13
4.70;9.48
4.80;9.48
4.90;10.18

