Испытание 1
Time;Speed
0.10;3426.68
0.20;3590.46
0.30;3438.01
0.40;3365.28
0.50;3251.69
0.60;3329.87
0.70;3439.08
0.80;3135.69
0.90;3167.97
1.00;3107.94
1.10;3291.95
1.20;3053.56
1.30;3226.39
1.40;3068.64
1.50;3280.27
1.60;2984.06
1.70;3165.53
1.80;3209.99
1.90;2981.07
2.00;3206.85
2.10;3190.46
2.20;3015.19
2.30;2931.83
2.40;3132.38
2.50;3019.77
2.60;3200.69
2.70;2998.03
2.80;2889.07
2.90;3052.46
3.00;3118.78
3.10;3129.25
3.20;2902.41
3.30;2986.17
3.40;2949.17
3.50;3025.67
3.60;3044.92
3.70;3151.79
3.80;2904.51
3.90;2990.56
4.00;3141.42
4.10;2866.26
4.20;3065.43
4.30;3159.26
4.40;3138.83
4.50;3100.44
4.60;2913.33
4.70;2932.27
4.80;2928.71
4.90;3001.84
5.00;2980.34

Испытание 2
Time;Speed
0.00;3487.57
0.10;3713.73
0.20;3586.92
0.30;3357.94
0.40;3427.12
0.50;3550.38
0.60;3438.97
0.70;3420.80
0.80;3157.09
0.90;3318.13
1.00;3360.59
1.10;3147.21
1.20;3170.21
1.30;3053.24
1.40;3014.91
1.50;3302.29
1.60;3067.04
1.70;3107.83
1.80;2967.61
1.90;3046.12
2.00;3024.66
2.10;3047.18
2.20;2961.36
2.30;2967.02
2.40;2982.43
2.50;3063.99
2.60;3020.80
2.70;3026.90
2.80;3136.75
2.90;2947.69
3.00;3121.78
3.10;2877.79
3.20;3011.34
3.30;2993.71
3.40;2896.27
3.50;3010.55
3.60;2996.62
3.70;3144.24
3.80;3064.27
3.90;3010.13
4.00;3031.47
4.10;2887.32
4.20;2904.40
4.30;2980.23
4.40;3104.23
4.50;2901.96
4.60;2928.36
4.70;2932.26
4.80;2886.63
4.90;2931.22

Испытание 3
Time;Speed
0.00;3673.72
0.10;3475.12
0.20;3427.98
0.30;3577.27
0.40;3542.21
0.50;3485.89
0.60;3373.51
0.70;3397.54
0.80;3413.87
0.90;3378.52
1.00;3209.97
1.10;3127.92
1.20;3298.04
1.30;3232.75
1.40;3067.06
1.50;3140.32
1.60;3281.53
1.70;3159.29
1.80;3040.63
1.90;3001.21
2.00;3092.60
2.10;3210.48
2.20;3048.98
2.30;2982.41
2.40;3185.91
2.50;3199.92
2.60;3124.48
2.70;3182.17
2.80;2948.34
2.90;3079.78
3.00;3053.59
3.10;3130.76
3.20;3047.68
3.30;2886.38
3.40;3160.69
3.50;2993.96
3.60;3115.84
3.70;2925.59
3.80;3061.27
3.90;3159.30
4.00;2960.70
4.10;3144.75
4.20;3112.08
4.30;3132.18
4.40;2937.29
4.50;3130.52
4.60;3117.78
4.70;2977.36
4.80;3026.39
4.90;3048.41
5.00;2870.68

Испытание 4
Time;Speed
0.00;3675.55
0.10;3563.03
0.20;3676.99
0.30;3385.79
0.40;3318.89
0.50;3506.25
0.60;3269.45
0.70;3173.26
0.80;3191.37
0.90;3126.92
1.00;3141.72
1.10;3103.58
1.20;3152.44
1.30;3034.00
1.40;3060.58
1.50;3140.17
1.60;3138.93
1.70;3232.46
1.80;3174.14
1.90;3055.31
2.00;3171.25
2.10;3002.53
2.20;3013.58
2.30;3040.58
2.40;3176.68
2.50;3015.14
2.60;3045.18
2.70;2950.81
2.80;2999.97
2.90;2883.94
3.00;2980.78
3.10;3027.74
3.20;3034.04
3.30;2883.34
3.40;2946.13
3.50;3003.00
3.60;2998.13
3.70;3139.70
3.80;3100.43
3.90;2969.44
4.00;3045.01
4.10;2930.97
4.20;3011.23
4.30;2933.58
4.40;3093.69
4.50;3107.95
4.60;3029.07
4.70;3058.50
4.80;3083.48
4.90;2977.79

Испытание 5
Time;Speed
0.00;3655.47
0.10;3643.76
0.20;3588.69
0.30;3389.27
0.40;3471.78
0.50;3550.38
0.60;3504.42
0.70;3262.97
0.80;3357.91
0.90;3275.70
1.00;3197.01
1.10;3246.92
1.20;3288.45
1.30;3131.08
1.40;3087.60
1.50;3097.86
1.60;3013.81
1.70;3056.37
1.80;3241.06
1.90;3053.76
2.00;2969.00
2.10;3211.94
2.20;3167.18
2.30;3196.90
2.40;3005.38
2.50;3158.64
2.60;3189.97
2.70;3084.73
2.80;3025.81
2.90;3073.68
3.00;3064.17
3.10;3064.09
3.20;3153.58
3.30;2883.34
3.40;3014.12
3.50;3031.69
3.60;3105.26
3.70;2866.76
3.80;3049.19
3.90;3133.67
4.00;2886.90
4.10;3108.61
4.20;3142.17
4.30;3002.79
4.40;3089.19
4.50;3014.73
4.60;2902.80
4.70;2995.39
4.80;2873.11
4.90;3073.95

Испытание 6
Time;Speed
0.00;3770.45
0.10;3699.38
0.20;3498.62
0.30;3371.86
0.40;3365.28
0.50;3249.99
0.60;3193.93
0.70;3251.34
0.80;3430.33
0.90;3380.15
1.00;3287.71
1.10;3308.03
1.20;3269.28
1.30;3232.75
1.40;3264.58
1.50;3198.50
1.60;3096.79
1.70;3251.29
1.80;3099.68
1.90;3231.95
2.00;3199.13
2.10;3084.22
2.20;3222.55
2.30;2962.48
2.40;2921.31
2.50;3030.45
2.60;2965.97
2.70;3046.73
2.80;2972.66
2.90;3082.82
3.00;2962.62
3.10;2939.92
3.20;2885.76
3.30;2921.16
3.40;3026.22
3.50;3039.26
3.60;3099.24
3.70;2930.11
3.80;3064.28
3.90;3005.62
4.00;2874.86
4.10;3037.87
4.20;2890.86
4.30;3117.14
4.40;3158.38
4.50;3001.21
4.60;2928.36
4.70;2990.88
4.80;3051.93
4.90;2878.64
5.00;3050.95

Испытание 7
Time;Speed
0.00;3502.17
0.10;3485.88
0.20;3625.78
0.30;3310.94
0.40;3432.27
0.50;3397.64
0.60;3304.70
0.70;3375.94
0.80;3297.00
0.90;3174.25
1.00;3195.16
1.10;3333.54
1.20;3237.12
1.30;3283.40
1.40;3120.63
1.50;3232.95
1.60;3145.19
1.70;3151.37
1.80;3090.25
1.90;3148.22
2.00;3188.24
2.10;3042.56
2.20;3157.96
2.30;3109.55
2.40;2977.85
2.50;2906.74
2.60;3045.18
2.70;3008.64
2.80;2943.74
2.90;2926.44
3.00;3015.65
3.10;3026.22
3.20;3053.71
3.30;2987.66
3.40;3153.11
3.50;2953.18
3.60;3120.35
3.70;2890.89
3.80;2955.73
3.90;3126.12
4.00;2942.61
4.10;2893.33
4.20;3118.08
4.30;2990.75
4.40;3024.51
4.50;3119.98
4.60;3062.14
4.70;3072.03
4.80;3069.95
4.90;3019.85

Испытание 8
Time;Speed
0.00;3730.30
0.10;3487.68
0.20;3548.07
0.30;3356.20
0.40;3528.47
0.50;3300.90
0.60;3276.17
0.70;3454.03
0.80;3265.73
0.90;3207.15
1.00;3316.86
1.10;3222.80
1.20;3138.25
1.30;3221.63
1.40;3054.42
1.50;3055.40
1.60;3001.29
1.70;3266.88
1.80;2995.58
1.90;2947.00
2.00;3191.32
2.10;2930.16
2.20;3067.34
