Испытание 1
Speed;Power
3426.68;0.95
3590.46;1.88
3438.01;2.60
3365.28;3.30
3251.69;3.77
3329.87;4.68
3439.08;4.90
3135.69;5.72
3167.97;6.11
3107.94;6.24
3291.95;6.80
3053.56;6.73
3226.39;7.22
3068.64;7.29
3280.27;7.65
2984.06;8.18
3165.53;8.52
3209.99;8.33
2981.07;8.35
3206.85;8.65
3190.46;8.54
3015.19;8.51
2931.83;9.39
3132.38;8.97
3019.77;9.56
3200.69;9.15
2998.03;9.43
2889.07;9.27
3052.46;9.19
3118.78;9.32
3129.25;9.51
2902.41;9.79
2986.17;9.52
2949.17;9.72
3025.67;9.32
3044.92;9.55
3151.79;9.92
2904.51;10.20
2990.56;10.20
3141.42;10.22
2866.26;9.88
3065.43;10.26
3159.26;10.00
3138.83;9.40
3100.44;10.29
2913.33;10.17
2932.27;9.57
2928.71;10.32
3001.84;10.39
2980.34;9.61

Испытание 2
Speed;Power
3487.57;0.00
3713.73;0.98
3586.92;1.87
3357.94;2.60
3427.12;3.27
3550.38;3.77
3438.97;4.32
3420.80;5.19
3157.09;5.63
3318.13;6.11
3360.59;6.57
3147.21;6.46
3170.21;6.96
3053.24;7.01
3014.91;7.49
3302.29;7.43
3067.04;8.06
3107.83;7.96
2967.61;8.25
3046.12;8.50
3024.66;8.90
3047.18;8.74
2961.36;8.79
2967.02;9.30
2982.43;9.41
3063.99;9.38
3020.80;9.54
3026.90;9.63
3136.75;9.19
2947.69;9.84
3121.78;9.38
2877.79;9.70
3011.34;10.00
2993.71;9.16
2896.27;9.25
3010.55;9.71
2996.62;9.28
3144.24;9.28
3064.27;9.71
3010.13;9.69
3031.47;9.65
2887.32;10.24
2904.40;10.04
2980.23;9.39
3104.23;9.96
2901.96;9.51
2928.36;10.21
2932.26;9.87
2886.63;10.27
2931.22;9.92

Испытание 3
Speed;Power
3673.72;0.00
3475.12;0.97
3427.98;1.74
3577.27;2.63
3542.21;3.43
3485.89;4.09
3373.51;4.57
3397.54;5.03
3413.87;5.77
3378.52;5.85
3209.97;6.56
3127.92;6.63
3298.04;6.86
3232.75;7.14
3067.06;7.47
3140.32;7.62
3281.53;8.00
3159.29;8.50
3040.63;8.33
3001.21;8.11
3092.60;8.93
3210.48;9.13
3048.98;9.31
2982.41;9.37
3185.91;8.90
3199.92;9.05
3124.48;9.64
3182.17;8.88
2948.34;9.46
3079.78;9.62
3053.59;9.17
3130.76;9.76
3047.68;9.79
2886.38;9.35
3160.69;9.24
2993.96;9.97
3115.84;9.91
2925.59;9.27
3061.27;9.33
3159.30;9.31
2960.70;9.94
3144.75;10.05
3112.08;9.94
3132.18;9.88
2937.29;10.09
3130.52;9.64
3117.78;9.77
2977.36;10.02
3026.39;10.39
3048.41;9.44
2870.68;10.16

Испытание 4
Speed;Power
3675.55;0.00
3563.03;0.94
3676.99;1.82
3385.79;2.56
3318.89;3.31
3506.25;4.06
3269.45;4.42
3173.26;5.22
3191.37;5.24
3126.92;6.07
3141.72;6.46
3103.58;6.99
3152.44;7.18
3034.00;7.19
3060.58;7.40
3140.17;7.86
3138.93;8.06
3232.46;8.52
